skill,salary
endpoint security,200000.0
software solutions,200000.0
object-oriented programming,200000.0
system administration,200000.0
troubleshooting,200000.0
installation,200000.0
monitoring system performance,200000.0
security upgrades,200000.0
Windows,200000.0
MacOS,200000.0
data engineering,89760.0
database management,89760.0
logical data modeling,89760.0
physical data modeling,89760.0
verbal communication,89760.0
written communication,89760.0
problem solving,89760.0
customer service,89760.0
time management,89760.0
SQL,89760.0
Visual Basic,89760.0
Oracle,89760.0
gathering requirements,89760.0
data pipeline architecture,89760.0
data extraction,89760.0
data transformation,89760.0
data loading,89760.0
data reliability,89760.0
data efficiency,89760.0
data quality,89760.0
technical support,89760.0
business metrics,89760.0
reporting,89760.0
data visualization,89760.0
Snowflake,89760.0
DB2,89760.0
SQL Server,89760.0
Python,89760.0
SAS,89760.0
PowerBI,89760.0
Snaplogic,89760.0
AWS,89760.0
communication,89760.0
teamwork,89760.0
customer focus,89760.0
Software Engineering,168000.0
Recruitment,168000.0
Interviewing,168000.0
Performance Evaluation,168000.0
Career Development,168000.0
Training,168000.0
Resource Planning,168000.0
Functional Management,168000.0
Agile Principles,168000.0
Leadership,168000.0
market research,50000.0
consumer behavior,50000.0
project management,50000.0
survey research,50000.0
insights,50000.0
marketing,50000.0
survey software,50000.0
data visualization,50000.0
Javascript,50000.0
Python,50000.0
AI/ML,162500.0
longitudinal health record,162500.0
technical,162500.0
cultural evolution,162500.0
architectural decisions,162500.0
engineering experience,162500.0
offshore teams,162500.0
Django,162500.0
Python,162500.0
Typescript,162500.0
DevOps Engineer,118900.0
cloud native technologies,118900.0
microservices,118900.0
distributed application architecture,118900.0
containers,118900.0
Kubernetes,118900.0
serverless technology,118900.0
OpenStack,118900.0
Nagios,118900.0
operational monitoring tools,118900.0
Java development,121440.0
Python development,121440.0
scripting,121440.0
data structures,121440.0
algorithms,121440.0
building pipelines,121440.0
framework development,121440.0
Object-Oriented Programming,121440.0
design patterns,121440.0
Java libraries,121440.0
concurrency patterns,121440.0
MVC Pattern,121440.0
JDBC,121440.0
RESTful web services,121440.0
web application frameworks,121440.0
Java GUI frameworks,121440.0
clean code,121440.0
class loading mechanism,121440.0
database handling,121440.0
scalable application design,121440.0
database schema design,121440.0
JVM,121440.0
automated testing,121440.0
code versioning tools,121440.0
building tools,121440.0
HTML,72500.0
CSS,72500.0
Node.js,72500.0
React.js,72500.0
Angular2+,72500.0
software development,72500.0
web development,72500.0
automated system tests,72500.0
debugging,72500.0
JavaScript,72500.0
software development,132000.0
implementation,132000.0
validation,132000.0
maintenance,132000.0
documentation,132000.0
problem solving,132000.0
math,132000.0
engineering,132000.0
communication,132000.0
C/C++ programming,132000.0
Foreign Exchange,82500.0
Trader,82500.0
Market Research,82500.0
Analysis,82500.0
Hedging Strategy,82500.0
Valuation,82500.0
Pricing,82500.0
Interbank Relationships,82500.0
E-Trading Platforms,82500.0
Bloomberg,82500.0
Communication Skills,82500.0
Research Skills,82500.0
Presentation Skills,82500.0
Programming/Coding,82500.0
Adaptability,82500.0
Python,88704.0
JavaScript,88704.0
CSS,88704.0
HTML,88704.0
Azure DevOps,88704.0
Git,88704.0
Version Control,88704.0
Agile Development,88704.0
MySQL,88704.0
Flask,88704.0
Django,88704.0
Cyber Security,88704.0
OAuth,88704.0
MS Visual Studio Code,88704.0
MySQL Queries,88704.0
Third Party API Integration,88704.0
Data Models,88704.0
ORMs,88704.0
Tiered Applications,88704.0
Software Design Patterns,88704.0
Communication Skills,88704.0
Working Independently,88704.0
Predictive Analytics,55000.0
Modeling,55000.0
Strategic Thinking,55000.0
Data Analytics,55000.0
SQL,55000.0
Relational Database,55000.0
SAS,55000.0
R,55000.0
Python,55000.0
Data Mining,55000.0
Python,63000.0
Server-Side Logic,63000.0
Code,63000.0
Low-latency,63000.0
High-availability,63000.0
Performance Applications,63000.0
Data Storage Solutions,63000.0
Performance Tuning,63000.0
Collaboration,63000.0
Problem Solving,63000.0
Full Stack Developer,173184.0
GCP,173184.0
Java,173184.0
Python,173184.0
Lean/Agile,173184.0
Big Data,173184.0
Software Engineering,173184.0
OO Design Principles,173184.0
Google Cloud Technologies,173184.0
BigQuery,173184.0
Bioinformatics,80740.0
Data analysis,80740.0
Programming,80740.0
High-performance computing,80740.0
Software development,80740.0
Data management,80740.0
Statistical analysis,80740.0
Cloud computing,80740.0
Container systems,80740.0
Data modeling,80740.0
Software Engineering,79365.0
Coding,79365.0
Debugging,79365.0
Integration,79365.0
Regression Testing,79365.0
Requirement Testing,79365.0
Geospatial Intelligence,79365.0
Command and Control,79365.0
Communications,79365.0
Object Oriented Analysis and Design,79365.0
computational modeling,152650.0
data science,152650.0
machine learning,152650.0
public health,152650.0
disease transmission models,152650.0
programming languages,152650.0
probabilistic programming languages,152650.0
specialized libraries,152650.0
continuous integration,152650.0
code management,152650.0
data science,130000.0
Python,130000.0
Pandas,130000.0
Polars,130000.0
Matplotlib,130000.0
sklearn,130000.0
SQL,130000.0
statistics,130000.0
probability,130000.0
machine learning,130000.0
data analysis,42500.0
cost analysis,42500.0
laws and regulations,42500.0
communication,42500.0
presentation,42500.0
client management,42500.0
utility regulations,42500.0
rates and billing,42500.0
programming skills,42500.0
auditing,42500.0
Software development,182500.0
Java,182500.0
Python,182500.0
JavaScript,182500.0
TypeScript,182500.0
C++,182500.0
SQL,182500.0
PostgreSQL,182500.0
MySQL,182500.0
NoSQL,182500.0
MongoDB,182500.0
Cassandra,182500.0
Google Cloud,182500.0
Docker,182500.0
Kubernetes,182500.0
Git,182500.0
Mercurial,182500.0
CI/CD pipelines,182500.0
Jenkins,182500.0
Travis CI,182500.0
CircleCI,182500.0
data extraction,136450.0
exploratory data analysis,136450.0
data cleansing,136450.0
data aggregation,136450.0
predictive modeling,136450.0
statistical modeling,136450.0
machine learning,136450.0
SQL,136450.0
ETL,136450.0
Python,136450.0
Python,63360.0
AWS,63360.0
microservices,63360.0
Docker,63360.0
Kubernetes,63360.0
security,63360.0
CI/CD,63360.0
agile,63360.0
SRE,63360.0
programming,63360.0
programmatic skills,44880.0
data acquisition,44880.0
data analysis,44880.0
data visualization,44880.0
reporting,44880.0
writing,44880.0
programming language,44880.0
scraping,44880.0
teamwork,44880.0
obtaining public records,44880.0
Python Developer,105600.0
writing code,105600.0
testing code,105600.0
debugging programs,105600.0
integrating applications,105600.0
server-side logic,105600.0
teamwork,105600.0
web applications,105600.0
back-end development,105600.0
user-facing elements,105600.0
Python,125000.0
ML Engineer,125000.0
Artificial Intelligence,125000.0
Machine Learning,125000.0
AWS,125000.0
SQL,125000.0
Data Parsing,125000.0
Data Manipulation,125000.0
Software Design,125000.0
Microservice,125000.0
technical support,112500.0
troubleshooting,112500.0
communication,112500.0
installation,112500.0
configuration,112500.0
customization,112500.0
maintenance,112500.0
documentation,112500.0
integration,112500.0
problem resolution,112500.0
Full Stack Development,111857.1
Atlassian Experience,111857.1
Jira,111857.1
Confluence,111857.1
Bitbucket,111857.1
GitLab,111857.1
Python,111857.1
Java,111857.1
Troubleshooting,111857.1
Scripting,111857.1
Information Security,63360.0
OpenShift,63360.0
Kubernetes,63360.0
Docker,63360.0
Rego policies,63360.0
Source code review,63360.0
REST APIs,63360.0
Git,63360.0
GitOps,63360.0
Cloud Fundamentals,63360.0
Configuration management,63360.0
Network architecture,63360.0
Identity & Access Management,63360.0
DevOps,63360.0
DevSecOps,63360.0
Software Development,95000.0
Federal Government,95000.0
Government Systems,95000.0
Security Protocols,95000.0
Compliance Standards,95000.0
Programming Languages,95000.0
Problem-solving,95000.0
Analytical Skills,95000.0
Communication,95000.0
Teamwork,95000.0
Python,167000.0
SQL,167000.0
programming optimization,167000.0
time-series data sets,167000.0
multi-process architectures,167000.0
communication skills,167000.0
teamwork ability,167000.0
problem-solving,167000.0
organization skills,167000.0
back-end development,167000.0
Backend Engineer,125000.0
Python,125000.0
Type Systems,125000.0
HTTP APIs,125000.0
API Design,125000.0
SQL,125000.0
Docker,125000.0
Statically Typed Language,125000.0
GCP,125000.0
AWS,125000.0
UX research,123478.5
qualitative research,123478.5
quantitative research,123478.5
usability studies,123478.5
focus groups,123478.5
interviews,123478.5
data analysis,123478.5
communication skills,123478.5
statistic tools,123478.5
Python,123478.5
Full Stack Developer,91300.0
Python,91300.0
JavaScript,91300.0
web application development,91300.0
data visualization,91300.0
interactive dashboards,91300.0
geospatial data,91300.0
communication skills,91300.0
collaboration tools,91300.0
REST APIs,91300.0
marketing analytics,5200.0
data-driven decision-making,5200.0
communication,5200.0
tactical,5200.0
self-starter,5200.0
SQL,5200.0
R,5200.0
Python,5200.0
Adobe Analytics,5200.0
reporting and visualization platforms,5200.0
rechargeable batteries,4416.67
computer simulations,4416.67
sodium-based materials,4416.67
sustainable energy storage,4416.67
scientific literature,4416.67
data analysis,4416.67
software/scripts development,4416.67
manuscript writing,4416.67
data presentation,4416.67
electronic structure methods,4416.67
physical models,115000.0
sensor response,115000.0
algorithms,115000.0
data analysis,115000.0
geospatial remote sensing,115000.0
programming,115000.0
mathematical modeling,115000.0
scientific instrumentation,115000.0
spectral image processing,115000.0
data science,115000.0
Full-Stack Software Engineer,116850.0
NextJs,116850.0
ReactJs,116850.0
JavaScript,116850.0
Streamlit,116850.0
FastAPI,116850.0
Python,116850.0
Postgres,116850.0
frontend design,116850.0
user experience,116850.0
data modeling,116850.0
database system design,116850.0
web development,116850.0
data optimization,116850.0
technical communication,116850.0
STEM,116850.0
Computer Science,116850.0
Engineering,116850.0
web development,116850.0
prototyping,116850.0
iterative development,116850.0
agile development methodologies,116850.0
problem-solving,116850.0
attention to detail,116850.0
adaptability,116850.0
learning new tools and languages,116850.0
qualitative data coding,56500.0
quantitative analysis,56500.0
data visualization,56500.0
client deliverables,56500.0
desk research,56500.0
literature reviews,56500.0
survey preparation,56500.0
recruitment,56500.0
reading skills,56500.0
writing skills,56500.0
Software Engineering,105246.57
DevOps,105246.57
Cloud Infrastructure,105246.57
Code Releases,105246.57
Integrations,105246.57
Product Management,105246.57
Application Lifecycle Management,105246.57
Root Cause Analysis,105246.57
